@relation dataSet

@attribute id numeric
@attribute clivi numeric
@attribute clt numeric
@attribute clwvi numeric
@attribute hfss numeric
@attribute pr numeric
@attribute prc numeric
@attribute prsn numeric
@attribute prw numeric
@attribute ps numeric
@attribute psl numeric
@attribute rlds numeric
@attribute rldscs numeric
@attribute rlntp numeric
@attribute rlntpcs numeric
@attribute rlus numeric
@attribute rlut numeric
@attribute rlutcs numeric
@attribute rsds numeric
@attribute rsdscs numeric
@attribute rsntp numeric
@attribute rsntpcs numeric
@attribute rsus numeric
@attribute rsuscs numeric
@attribute rsut numeric
@attribute rsutcs numeric
@attribute rtmt numeric
@attribute tas numeric
@attribute tauu numeric
@attribute tauv numeric
@attribute ts numeric
@attribute uas numeric
@attribute vas numeric
@attribute rsdt numeric

@data
111,45695.2835,41174284,98043.955,13421106,10.435375,2.209028,0,19619617.5,101296155000,101357150000,330998260,318707750,228318210,250439610,403674970,248145250,268564385,301768560,367684080,357806185,416972470,23934825,29250375.5,116044482,58147247.5,132217515,291396075,-22269.8645,-5893.31465,290281260,-1305178.05,-731515.275,496407240
178,2464.5188,16932664,19886.05875,21333050.5,1.050825,0.950885,0,9784297.75,96409095000,101878675000,293890185,291288695,256541640,261262640,397374080,271773105,276330585,220885335,227514530,173650875,177456670,98713935,101676530,114826510,111092582.5,-83039598,288987410,-107821.31,-89636.205,288588970,-2114380.1,-2452949.45,303560010
66,99788.1685,71483090,227937.25,-682903.915,40.166579,6.514107,0,20409006,101854012500,101854012500,337826740,301272585,198125695,238318765,383304440,220938045,257706530,223449570,371341965,294847580,426235000,10866718,18478946,177439895,48968346,97971900,286318250,67534.625,-27454.576,286693880,4475955.3,-1910488.85,496349840
123,82419.17,89912620,160709.555,79811513,39.006282,18.842723,20.701907,8310981.3,101026125000,101107340000,294379150,238576820,179610435,223090795,351417880,199558760,239826065,27997755,57913975,38916837,65661707,3467174.9,7292211,48488901.5,22220016.5,-152482740,275442750,2881.8465,-18719.3935,280530180,338795.9,-705983.735,95564935
236,30948.295,57573113,71072.655,54909331.5,8.773098,5.334888,2.201451,11829764,102677965000,102937805000,306915100,278793585,216679700,240893615,394020585,234502255,256824525,78016146.5,104853050,102116465,128069038,4680968.65,6291183,53896928,28421767,-121705015,283839555,-39413.897,412.61165,288676730,-1417762.4,446763.3,166694160
83,8904.02575,87376422.5,13207.55175,1778082.3,4.158671,1.234325,4.158553,1759826.3,79044475000,98322860000,183457410,148073040,162393940,171719915,239220800,190958440,199755625,350774120,403550965,122358520,128874940,280140335,322292235,337420685,330858950,-39602089,254816125,-70810.8245,-44470.707,254526255,-1213957.85,-740686.78,488777030
116,47151.225,86855827,88296.518,-12835796,9.677476,1.204017,7.646091,6338322.5,100161340000,102954984499.999984,248050390,203049670,174800780,194354745,282301695,194540480,212722355,35403604.5,58265018.5,38970789.5,56364787.5,11038959,17270377,48862608.5,31765415.5,-147343910,265523650,245945.775,96422.55,264907030,2514116.65,1698563.15,96059180
197,27707.4326,43072531.5,60197.917,7050081.7,50.182378,44.099101,0,33638811,101302280000,101411588000,394191495,386794450,244843320,271079135,464768095,259821310,284164660,175789820,210360575,219119995,253024200,10723265,12797372.5,69732047,36876262.5,-26245070.5,299494925,-12121.75353,16652.9655,300844865,-1061135.695,226019.7,303308290
241,129.376945,52077272.5,27739.575,13642197.25,6.433515,5.104076,0,35600269.5,101218390000.000016,101218390000.000016,399472945,377316015,260135830,266478275,451170870,273863050,279606655,248490655,322608685,327002835,390115550,11644148,15322345.5,106228317.5,44314747,72157867,296387520,-11575.264,25954.9945,298621870,-1668947.35,3945662.65,452249235
135,80231.743,89004220,117968.745,8990673.4,125.952482,112.455005,0,50368814.5,100103980000.000016,100580013000,422773840,417026290,191766580,260042835,478155580,206694120,274730220,243397395,323623875,308188380,388776300,14500840.5,19547495,122371748,45962848.5,123201487,301325475,-16167.998,-23296.5497,302979860,-1295010.2,-609223.275,452267335
